title,price,description,rating,image
REI Co-op Groundbreaker 2 Tent,$89.95,"Whether it's your 1st time or your 50th, the 2-person, 3-season REI Co-op Groundbreaker 2 Tent is a no-frills way to get into camping. It's easy to pitch, durable and has ample ventilation.",3.9,https://www.rei.com/media/4d10e9dd-0ca5-467b-a38e-b5596252076e?size=784x588
REI Co-op Wonderland 4 Tent,$499.00,"Spread out and kick back! The REI Co-op Wonderland 4 tent pitches into a cozy, 3-season basecamp with large doors, 360° views and stable architecture to handle stormy weather.",4.8,https://www.rei.com/media/e5f3820f-7a79-42e9-b4b3-c7849f0f2de8?size=784x588
REI Co-op Backpacking Bundle,$243.93,"So your friends want to go backpacking ... this weekend. Take the guesswork out of gear shopping with these 3 customer faves—tent, sleeping bag and pad—together in the REI Co-op Backpacking Bundle.",4.4,https://www.rei.com/media/7ba4cfc8-a91d-40e7-b236-a998a23242a2?size=784x588
Rightline Gear SUV Tent,$169.93,"Attaching to the back of any SUV, minivan, wagon or pickup truck with a cap, the Rightline SUV Tent provides room for 6, with 2 in the cargo area and 4 in the fully waterproof tent.",3.1,https://www.rei.com/media/43d4f006-ecae-414a-a4c6-e05d6e59d8f8?size=784x588
Kelty Discovery 2-Person Camp Bundle,$199.93,"Helping you and a friend get to your outdoor fun faster, the Kelty Discovery 2-person camp bundle includes a 4-person tent with waterproof fly, 2 cozy sleeping bags and 2 self-inflating sleeping pads.",3.9,https://www.rei.com/media/ff025874-d42c-4fc1-bcce-0f09644338ea?size=784x588
REI Co-op Skyward 4 Tent,$349.00,"If you'd like less ducking and crawling and more standing and stretching in your camp life, the REI Co-op Skyward 4 tent is going to make you very happy—and your campground neighbors very jealous.",4.2,https://www.rei.com/media/2c319731-79e1-4264-8865-5fb2e2a07f35?size=784x588
REI Co-op Trail Hut 2 Tent with Footprint,$199.00,"Your home on the trail, the 3-season REI Co-op Trail Hut 2 is a dome-shaped happy medium between comfort and cost with easy setup, some storage and a little extra room thanks to the ridge pole.",4.5,https://www.rei.com/media/56b03fff-1b1b-4bba-bb46-63429f9576d6?size=784x588
Mountain Summit Gear Campside 3-Person Dome Tent,$119.95,Set up for a weekend with a couple friends in the Mountain Summit Gear Campside 3-Person Dome tent. It sets up quickly and includes plenty of storage for everyone.,4.3,https://www.rei.com/media/62feb694-6802-4e98-a79c-42bd3a94bc7a?size=784x588
Mountain Summit Gear Campside 3-Person Dome Tent,$119.95,Set up for a weekend with a couple friends in the Mountain Summit Gear Campside 3-Person Dome tent. It sets up quickly and includes plenty of storage for everyone.,4.3,https://www.rei.com/media/62feb694-6802-4e98-a79c-42bd3a94bc7a?size=784x588
REI Co-op Wonderland 6 Tent,$599.00,"With 360° views and large awnings, the REI Co-op Wonderland 6 tent pitches into a comfy, 3-season headquarters for fun with a spacious interior that divides into 2 rooms for privacy.",3.4,https://www.rei.com/media/fbfde3d5-4f6d-42ef-9764-30dd867811d0?size=784x588
Coleman Skydome Darkroom 4-Person Tent,$149.95,"With a quick setup that takes less than 5 min. and Dark Room™ technology that blocks 90% of sunlight, the Coleman Dark Room Skydome 4-person tent lets you get right to relaxing anytime of day.",4.2,https://www.rei.com/media/1d4de063-1422-4139-a327-d8817cc38d4c?size=784x588
REI Co-op Half Dome SL 2+ Tent with Footprint,$329.00,"Dropping over a pound from its famed predecessor, the REI Co-op Half Dome SL 2+ backpacking tent is great for two people who appreciate some extra room, intuitive setup and a-spot-for-it-all storage.",4.3,https://www.rei.com/media/17d0f0fe-15d4-47bc-9113-aaf24eee0509?size=784x588
Coleman Skydome 4-Person Tent,$159.95,"With a simple, spacious design that sets up in under 5 min., the Coleman Skydome 4-person tent lets you spend more time relaxing at your campsite and less time messing with gear.",4.4,https://www.rei.com/media/bc533124-6cd2-470f-8d94-941dddcdded1?size=784x588
