title,price,description,rating,image
Merrell Moab 2 Mid Ventilator Hiking Boots - Men's,$83.93,"Moab stands for Mother-Of-All-Boots. Experience out-of-the-box comfort in the ventilated Merrell Moab 2 Ventilator Mid men's hikers with their durable leather, supportive footbeds and Vibram traction.",4.6,https://www.rei.com/media/d4512d61-d665-4aa7-bddb-613756e0e7f9?size=784x588
Salomon X Ultra 3 Mid GTX Hiking Boots - Women's,$122.93,"Salomon X Ultra 3 Mid GTX womens hiking boots bring running-shoe comfort to technical hikes. Design updates make them especially suited for tackling tough descents, even in wet conditions.",4.2,https://www.rei.com/media/088ad8d6-7dc2-496d-a446-682713c48da0?size=784x588
La Sportiva Nucleo High II GTX Hiking Boots - Men's,$229.00,"Lightweight and super-comfortable, La Sportiva Nucleo High II GTX boots with GORE-TEX® SURROUND™ tech combine durability, breathability and waterproof protection to keep you trekking all day long.",4.1,https://www.rei.com/media/abfd0fb9-5e89-47e0-a607-7ae8f4103240?size=784x588
Merrell Moab 2 Mid Waterproof Hiking Boots - Women's,$100.93,"Merrell Moab 2 Waterproof Mid hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram® traction. Wear them and you'll know why Moab stands for Mother-Of-All-Boots.",4.6,https://www.rei.com/media/729e9393-a31d-4803-8319-afc2b96be454?size=784x588
Salomon OUTline Mid GTX Hiking Boots - Men's,$74.83,"Tackle new trails in the Salomon OUTline Mid GTX men's hiking boots. A GORE-TEX® liner, flexible feel and rugged traction keep you comfortable and protected for miles of backcountry adventures.",4.2,https://www.rei.com/media/8dcecf01-3ede-48a8-8487-06de3306588f?size=784x588
REI Co-op Flash Hiking Boots - Men's,$150.00,"Fly over trails in the waterproof, breathable men's REI Co-op Flash hiking boots. REI-exclusive technologies create fast-and-light boots—with a lighter footprint—that are comfy right out of the box.",4.0,https://www.rei.com/media/4dbe88ce-6809-42a5-8b33-3343adfa1233?size=784x588
Salomon X Ultra 3 Mid GTX Hiking Boots - Men's,$122.93,"Wet conditions, tough descents and long hikes are no problem for the men's Salomon X Ultra 3 Mid GTX hiking boots. They provide the cushioning and flexibility needed for comfy, stable steps.",4.2,https://www.rei.com/media/95bcfe60-1761-479b-ae60-a583414f93a6?size=784x588
Timberland Mt. Maddsen Mid Waterproof Hiking Boots - Men's,$109.95,"Crafted of full-grain leather, the men's Mt. Maddsen Mid waterproof hiking boots offer rugged, trail-worthy performance and comfort for long miles in the wilderness.",4.5,https://www.rei.com/media/53a03193-14c6-4588-9010-e3111501c216?size=784x588
Merrell Moab 2 Ventilator Hiking Shoes - Men's,$76.93,"Merrell Moab 2 Ventilator hiking shoes offer ventilation, out-of-the-box comfort, durable leather, supportive footbeds and Vibram® traction. Wear them and see why Moab stands for Mother-Of-All-Boots.",4.5,https://www.rei.com/media/2d31ec91-cba9-4021-a5d1-92206156855b?size=784x588
Merrell Moab 2 Waterproof Hiking Shoes - Women's,$93.93,"Experience out-of-the-box comfort in Merrell Moab 2 waterproof hiking shoes. With durable leather, supportive footbeds and Vibram® traction, you'll understand why Moab stands for Mother-Of-All-Boots.",4.4,https://www.rei.com/media/07d0a99f-23ef-425c-8bd8-a8d3c1a0f5bc?size=784x588
Merrell Moab 2 Mid Waterproof Hiking Boots - Men's,$100.93,"Merrell Moab 2 Mid waterproof hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram® grip. You'll soon understand why Moab stands for Mother-Of-All-Boots.",4.2,https://www.rei.com/media/3c402fb4-f707-4819-baa5-318d85d01cbc?size=784x588
Merrell Moab 2 Mid Waterproof Hiking Boots - Men's,$100.93,"Merrell Moab 2 Mid waterproof hikers deliver out-of-the-box comfort with durable leather, supportive footbeds and Vibram® grip. You'll soon understand why Moab stands for Mother-Of-All-Boots.",4.2,https://www.rei.com/media/3c402fb4-f707-4819-baa5-318d85d01cbc?size=784x588
